"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","train_AUC","val_AUC"
"1","Rectifier",0.1,800,0,1e-04,0.994054696789536,0.965598290598291
"2","Rectifier",0.1,800,0,1e-05,0.924996697053772,0.921581196581197
"3","Rectifier",0.1,800,0,1e-06,0.957557140969745,0.936965811965812
"4","Rectifier",0.1,800,0,1e-07,1,0.963461538461538
"5","Rectifier",0.1,800,0,1e-08,0.928814902893381,0.915598290598291
"6","Rectifier",0.1,800,0,1e-09,0.999828246796142,0.964316239316239
"7","Rectifier",0.1,800,0,1e-10,0.999286563614744,0.965598290598291
"8","Rectifier",0.1,800,-1,1e-04,0.996967895362664,0.950641025641026
"9","Rectifier",0.1,800,-1,1e-05,0.956044391597305,0.938034188034188
"10","Rectifier",0.1,800,-1,1e-06,0.999887699828247,0.965384615384615
"11","Rectifier",0.1,800,-1,1e-07,0.965365305852821,0.941452991452991
"12","Rectifier",0.1,800,-1,1e-08,0.999986788215088,0.962820512820513
"13","Rectifier",0.1,800,-1,1e-09,0.999881093935791,0.959401709401709
"14","Rectifier",0.1,800,-1,1e-10,0.999246928260008,0.968376068376068
"15","Rectifier",0.1,800,-2,1e-04,0.973114017703792,0.938461538461538
"16","Rectifier",0.1,800,-2,1e-05,0.966362795613687,0.963247863247863
"17","Rectifier",0.1,800,-2,1e-06,0.999471528603514,0.968376068376068
"18","Rectifier",0.1,800,-2,1e-07,0.956942792971331,0.941452991452991
"19","Rectifier",0.1,800,-2,1e-08,0.999973576430176,0.961111111111111
"20","Rectifier",0.1,800,-2,1e-09,0.999511163958251,0.966239316239316
"21","Rectifier",0.1,800,-2,1e-10,0.999180869335447,0.966025641025641
