"","learn_rate","max_depth","sample_rate","col_sample_rate","train_AUC","val_AUC"
"133",0.01,4,0.6,0.3,0.992409829567975,0.958333333333333
"134",0.01,4,0.6,0.4,0.99250231206236,0.955982905982906
"135",0.01,4,0.6,0.5,0.991385916237284,0.954487179487179
"136",0.01,4,0.6,0.6,0.991663363720439,0.95491452991453
"137",0.01,4,0.6,0.7,0.992396617783062,0.951068376068376
"138",0.01,4,0.6,0.8,0.991458581054301,0.951709401709402
"139",0.01,4,0.6,0.9,0.990368608799049,0.953632478632479
"140",0.01,4,0.6,1,0.989787290262914,0.955128205128205
"141",0.01,4,0.7,0.1,0.992119170299907,0.962393162393162
"142",0.01,4,0.7,0.2,0.99416699696129,0.964102564102564
"143",0.01,4,0.7,0.3,0.99346016646849,0.958547008547009
"144",0.01,4,0.7,0.4,0.993711190381821,0.954059829059829
"145",0.01,4,0.7,0.5,0.992799577222883,0.951495726495727
"146",0.01,4,0.7,0.6,0.993519619500595,0.95491452991453
"147",0.01,4,0.7,0.7,0.993922578940415,0.951923076923077
"148",0.01,4,0.7,0.8,0.9928722420399,0.954700854700855
"149",0.01,4,0.7,0.9,0.992713700620954,0.955555555555555
"150",0.01,4,0.7,1,0.992865636147443,0.958760683760684
"151",0.01,4,0.8,0.1,0.992020081913066,0.966880341880342
"152",0.01,4,0.8,0.2,0.994120755714097,0.962606837606838
"153",0.01,4,0.8,0.3,0.994021667327256,0.958119658119658
"154",0.01,4,0.8,0.4,0.994887039239001,0.960683760683761
"155",0.01,4,0.8,0.5,0.994067908574448,0.960470085470086
"156",0.01,4,0.8,0.6,0.994715286035143,0.954059829059829
"157",0.01,4,0.8,0.7,0.994477473906725,0.957478632478633
"158",0.01,4,0.8,0.8,0.994484079799181,0.955982905982906
"159",0.01,4,0.8,0.9,0.993783855198837,0.959188034188034
"160",0.01,4,0.8,1,0.9940150614348,0.960042735042735
"161",0.01,4,0.9,0.1,0.992079534945171,0.964529914529915
"162",0.01,4,0.9,0.2,0.994431232659532,0.959615384615385
