"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","AUC","accuracy","precision","recall"
"1","Rectifier",0,80,0,1e-04,0.8912997,0.8514159,0.82128257,0.80265796
"2","Rectifier",0,80,0,1e-05,0.89573574,0.85698134,0.81216496,0.8268704
"3","Rectifier",0,80,0,1e-06,0.876393,0.83654743,0.76290035,0.8559536
"4","Rectifier",0,80,0,1e-07,0.8933688,0.83588505,0.7595819,0.8849758
"5","Rectifier",0,80,0,1e-08,0.90339,0.853507,0.795311,0.864416
"6","Rectifier",0,80,0,1e-09,0.8983329,0.8458691,0.78242093,0.8519064
"7","Rectifier",0,80,0,1e-10,0.8889478,0.84527993,0.7906259,0.84652835
"8","Rectifier",0,80,-1,1e-04,0.8843685,0.850024,0.78388286,0.8517598
"9","Rectifier",0,80,-1,1e-05,0.8947124,0.8386846,0.76483315,0.87298036
"10","Rectifier",0,80,-1,1e-06,0.8925088,0.84129304,0.7719035,0.87253755
"11","Rectifier",0,80,-1,1e-07,0.89925694,0.84887475,0.77438796,0.8917178
"12","Rectifier",0,80,-1,1e-08,0.9016791,0.85210127,0.80792856,0.8501253
"13","Rectifier",0,80,-1,1e-09,0.89955145,0.8485219,0.78457403,0.85587025
"14","Rectifier",0,80,-1,1e-10,0.88939965,0.83875066,0.78951705,0.83416873
"15","Rectifier",0,80,-2,1e-04,0.89541084,0.8503802,0.79339117,0.83103323
"16","Rectifier",0,80,-2,1e-05,0.879689,0.85451746,0.80732155,0.81582105
"17","Rectifier",0,80,-2,1e-06,0.89383006,0.8380576,0.7565485,0.8751875
"18","Rectifier",0,80,-2,1e-07,0.9018943,0.85590684,0.8005979,0.85947645
"19","Rectifier",0,80,-2,1e-08,0.9017475,0.85588026,0.7873794,0.8815749
"20","Rectifier",0,80,-2,1e-09,0.89976335,0.85220176,0.7971519,0.8570118
"21","Rectifier",0,80,-2,1e-10,0.8890797,0.83939314,0.7966835,0.82641274
