"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","AUC","accuracy","precision","recall"
"1","Rectifier",0,400,0,1e-04,0.8917617,0.8429332,0.7680996,0.88422173
"2","Rectifier",0,400,0,1e-05,0.89014107,0.84714645,0.7952705,0.8217544
"3","Rectifier",0,400,0,1e-06,0.89619684,0.8459543,0.7873847,0.8547888
"4","Rectifier",0,400,0,1e-07,0.86719793,0.80417424,0.7195628,0.8587862
"5","Rectifier",0,400,0,1e-08,0.88307613,0.836152,0.7822796,0.84269834
"6","Rectifier",0,400,0,1e-09,0.9033497,0.85297924,0.79400444,0.8485423
"7","Rectifier",0,400,0,1e-10,0.900319,0.8486132,0.79699904,0.84846073
"8","Rectifier",0,400,-1,1e-04,0.89068586,0.82686895,0.7325921,0.89239943
"9","Rectifier",0,400,-1,1e-05,0.89526635,0.8421818,0.78338456,0.85199225
"10","Rectifier",0,400,-1,1e-06,0.8861968,0.8461581,0.8216158,0.78997844
"11","Rectifier",0,400,-1,1e-07,0.8774771,0.8253365,0.7721421,0.8232524
"12","Rectifier",0,400,-1,1e-08,0.8942324,0.83815,0.7643011,0.87772006
"13","Rectifier",0,400,-1,1e-09,0.902634,0.86341125,0.81756675,0.84412515
"14","Rectifier",0,400,-1,1e-10,0.9022468,0.8517585,0.7939488,0.86865216
"15","Rectifier",0,400,-2,1e-04,0.9096329,0.8565543,0.77547693,0.9025806
"16","Rectifier",0,400,-2,1e-05,0.90352356,0.87018156,0.8481743,0.82445955
"17","Rectifier",0,400,-2,1e-06,0.8938122,0.8452056,0.79244524,0.84054506
"18","Rectifier",0,400,-2,1e-07,0.8747713,0.83731204,0.80387676,0.79360163
"19","Rectifier",0,400,-2,1e-08,0.8840306,0.83435005,0.7911129,0.8425392
"20","Rectifier",0,400,-2,1e-09,0.900756,0.8622011,0.83262455,0.8269484
"21","Rectifier",0,400,-2,1e-10,0.90256757,0.8452626,0.7742952,0.8721813
