"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","AUC","accuracy","precision","recall"
"1","Rectifier",0,60,0,1e-04,0.8887427,0.8392653,0.7887661,0.85206646
"2","Rectifier",0,60,0,1e-05,0.8861152,0.8362456,0.7772124,0.8360536
"3","Rectifier",0,60,0,1e-06,0.88231444,0.8287406,0.7530395,0.861784
"4","Rectifier",0,60,0,1e-07,0.8985649,0.84738374,0.79060775,0.86024916
"5","Rectifier",0,60,0,1e-08,0.90213877,0.8592423,0.8121511,0.8472087
"6","Rectifier",0,60,0,1e-09,0.8977363,0.84919244,0.7892179,0.8494162
"7","Rectifier",0,60,0,1e-10,0.88576734,0.8434913,0.81245166,0.8249787
"8","Rectifier",0,60,-1,1e-04,0.8918374,0.8431619,0.7680295,0.86518043
"9","Rectifier",0,60,-1,1e-05,0.89387864,0.8384422,0.75212055,0.89209145
"10","Rectifier",0,60,-1,1e-06,0.8904201,0.8445789,0.787883,0.84062517
"11","Rectifier",0,60,-1,1e-07,0.8928959,0.8451333,0.79155004,0.847508
"12","Rectifier",0,60,-1,1e-08,0.89999205,0.84986323,0.803446,0.85295165
"13","Rectifier",0,60,-1,1e-09,0.89486015,0.83864504,0.7686686,0.86395866
"14","Rectifier",0,60,-1,1e-10,0.8869844,0.83992255,0.8022549,0.8190774
"15","Rectifier",0,60,-2,1e-04,0.90882486,0.8573013,0.7898061,0.8714939
"16","Rectifier",0,60,-2,1e-05,0.90388024,0.8737701,0.84295684,0.8387496
"17","Rectifier",0,60,-2,1e-06,0.89512765,0.8625726,0.8210527,0.83740705
"18","Rectifier",0,60,-2,1e-07,0.9028798,0.8553029,0.81626326,0.83086413
"19","Rectifier",0,60,-2,1e-08,0.89656776,0.84382933,0.79214424,0.84209746
"20","Rectifier",0,60,-2,1e-09,0.8962124,0.8402328,0.7708216,0.8732428
"21","Rectifier",0,60,-2,1e-10,0.8823385,0.82549953,0.7478967,0.8753857
