"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","AUC","accuracy","precision","recall"
"1","Rectifier",0,30,0,1e-04,0.9039159,0.8650974,0.8044867,0.86202615
"2","Rectifier",0,30,0,1e-05,0.8970818,0.8539178,0.7837547,0.86837393
"3","Rectifier",0,30,0,1e-06,0.89452183,0.84894603,0.79058135,0.85744715
"4","Rectifier",0,30,0,1e-07,0.9061207,0.86020243,0.80896413,0.8651878
"5","Rectifier",0,30,0,1e-08,0.8979936,0.8423309,0.7739195,0.85489655
"6","Rectifier",0,30,0,1e-09,0.8920292,0.84168774,0.8058209,0.8211432
"7","Rectifier",0,30,0,1e-10,0.87732714,0.8283719,0.76382077,0.82879865
"8","Rectifier",0,30,-1,1e-04,0.901693,0.8573445,0.78481466,0.8696922
"9","Rectifier",0,30,-1,1e-05,0.8845801,0.8377556,0.79398996,0.810331
"10","Rectifier",0,30,-1,1e-06,0.9017989,0.8533802,0.77705294,0.88567364
"11","Rectifier",0,30,-1,1e-07,0.90506506,0.8626244,0.8111858,0.8627892
"12","Rectifier",0,30,-1,1e-08,0.89355385,0.84120196,0.76795936,0.85434544
"13","Rectifier",0,30,-1,1e-09,0.8926219,0.84576833,0.80161834,0.8380084
"14","Rectifier",0,30,-1,1e-10,0.87386686,0.8196365,0.747175,0.8284293
"15","Rectifier",0,30,-2,1e-04,0.90401715,0.85386187,0.80628365,0.8264071
"16","Rectifier",0,30,-2,1e-05,0.9086731,0.8687681,0.8336319,0.8375221
"17","Rectifier",0,30,-2,1e-06,0.9011209,0.8624257,0.8036709,0.86939704
"18","Rectifier",0,30,-2,1e-07,0.90658355,0.8647168,0.8464058,0.8166863
"19","Rectifier",0,30,-2,1e-08,0.89654344,0.85174876,0.7903743,0.8706512
"20","Rectifier",0,30,-2,1e-09,0.8921286,0.84280753,0.7811048,0.8668126
"21","Rectifier",0,30,-2,1e-10,0.87615234,0.8253696,0.7751147,0.8086469
