"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","train_AUC","val_AUC"
"1","Rectifier",0.1,90,0,1e-04,0.976750663129973,0.966880341880342
"2","Rectifier",0.1,90,0,1e-05,0.996618037135279,0.961538461538461
"3","Rectifier",0.1,90,0,1e-06,0.998342175066313,0.957692307692308
"4","Rectifier",0.1,90,0,1e-07,0.995570291777188,0.959401709401709
"5","Rectifier",0.1,90,0,1e-08,0.990709549071618,0.972222222222222
"6","Rectifier",0.1,90,0,1e-09,0.983799734748011,0.972435897435898
"7","Rectifier",0.1,90,0,1e-10,0.98104774535809,0.971581196581197
"8","Rectifier",0.1,90,-1,1e-04,0.9892175066313,0.960683760683761
"9","Rectifier",0.1,90,-1,1e-05,0.997533156498674,0.961965811965812
"10","Rectifier",0.1,90,-1,1e-06,0.997692307692308,0.94465811965812
"11","Rectifier",0.1,90,-1,1e-07,0.994960212201592,0.961965811965812
"12","Rectifier",0.1,90,-1,1e-08,0.989973474801061,0.969444444444444
"13","Rectifier",0.1,90,-1,1e-09,0.984045092838196,0.973076923076923
"14","Rectifier",0.1,90,-1,1e-10,0.980736074270557,0.970299145299145
"15","Rectifier",0.1,90,-2,1e-04,0.966498673740053,0.951282051282051
"16","Rectifier",0.1,90,-2,1e-05,0.980099469496021,0.963675213675214
"17","Rectifier",0.1,90,-2,1e-06,0.980822281167109,0.944230769230769
"18","Rectifier",0.1,90,-2,1e-07,0.99053050397878,0.965598290598291
"19","Rectifier",0.1,90,-2,1e-08,0.983507957559682,0.960470085470086
"20","Rectifier",0.1,90,-2,1e-09,0.98579575596817,0.971581196581197
"21","Rectifier",0.1,90,-2,1e-10,0.981120689655172,0.971153846153846
