"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","train_AUC","val_AUC"
"1","Rectifier",0.2,500,0,1e-04,0.99210875331565,0.966025641025641
"2","Rectifier",0.2,500,0,1e-05,0.996830238726791,0.950106837606838
"3","Rectifier",0.2,500,0,1e-06,0.999257294429708,0.951709401709402
"4","Rectifier",0.2,500,0,1e-07,0.99870026525199,0.95
"5","Rectifier",0.2,500,0,1e-08,0.994370026525199,0.962606837606838
"6","Rectifier",0.2,500,0,1e-09,0.990351458885942,0.968376068376068
"7","Rectifier",0.2,500,0,1e-10,0.98540450928382,0.977136752136752
"8","Rectifier",0.2,500,-1,1e-04,0.957009283819629,0.950854700854701
"9","Rectifier",0.2,500,-1,1e-05,0.997122015915119,0.961217948717949
"10","Rectifier",0.2,500,-1,1e-06,0.968010610079576,0.950854700854701
"11","Rectifier",0.2,500,-1,1e-07,0.99868700265252,0.964529914529915
"12","Rectifier",0.2,500,-1,1e-08,0.994774535809019,0.964102564102564
"13","Rectifier",0.2,500,-1,1e-09,0.991133952254642,0.969444444444444
"14","Rectifier",0.2,500,-1,1e-10,0.985305039787798,0.97457264957265
"15","Rectifier",0.2,500,-2,1e-04,0.965755968169761,0.953632478632479
"16","Rectifier",0.2,500,-2,1e-05,0.992685676392573,0.954273504273504
"17","Rectifier",0.2,500,-2,1e-06,0.980431034482759,0.975641025641026
"18","Rectifier",0.2,500,-2,1e-07,0.976432360742705,0.953418803418803
"19","Rectifier",0.2,500,-2,1e-08,0.99224801061008,0.95982905982906
"20","Rectifier",0.2,500,-2,1e-09,0.990371352785146,0.967735042735043
"21","Rectifier",0.2,500,-2,1e-10,0.986279840848806,0.975854700854701
