"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","train_AUC","val_AUC"
"1","Rectifier",0.05,20,0,1e-04,0.992138987977276,0.951068376068376
"2","Rectifier",0.05,20,0,1e-05,0.995283392786365,0.964209401709402
"3","Rectifier",0.05,20,0,1e-06,0.99364513145726,0.951282051282051
"4","Rectifier",0.05,20,0,1e-07,0.99660457127758,0.95982905982906
"5","Rectifier",0.05,20,0,1e-08,0.993169507200423,0.964529914529915
"6","Rectifier",0.05,20,0,1e-09,0.976872770511296,0.941452991452991
"7","Rectifier",0.05,20,0,1e-10,0.944431232659532,0.890598290598291
"8","Rectifier",0.05,20,-1,1e-04,0.992548553309552,0.958119658119658
"9","Rectifier",0.05,20,-1,1e-05,0.960351433478663,0.939957264957265
"10","Rectifier",0.05,20,-1,1e-06,0.996366759149161,0.962179487179487
"11","Rectifier",0.05,20,-1,1e-07,0.996010040956533,0.967094017094017
"12","Rectifier",0.05,20,-1,1e-08,0.990764962346413,0.959615384615385
"13","Rectifier",0.05,20,-1,1e-09,0.979759545514599,0.939102564102564
"14","Rectifier",0.05,20,-1,1e-10,0.944431232659532,0.89551282051282
"15","Rectifier",0.05,20,-2,1e-04,0.91788875677104,0.854273504273504
"16","Rectifier",0.05,20,-2,1e-05,0.994028273219712,0.960470085470086
"17","Rectifier",0.05,20,-2,1e-06,0.996089311666006,0.965384615384615
"18","Rectifier",0.05,20,-2,1e-07,0.994147179283921,0.955769230769231
"19","Rectifier",0.05,20,-2,1e-08,0.990910291980447,0.964529914529915
"20","Rectifier",0.05,20,-2,1e-09,0.977738142423041,0.941880341880342
"21","Rectifier",0.05,20,-2,1e-10,0.947284978200555,0.900854700854701
