"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","train_AUC","val_AUC"
"1","Rectifier",0.05,60,0,1e-04,0.992284317611309,0.942735042735043
"2","Rectifier",0.05,60,0,1e-05,0.940474303078346,0.931837606837607
"3","Rectifier",0.05,60,0,1e-06,0.997291584093011,0.961965811965812
"4","Rectifier",0.05,60,0,1e-07,0.998308891531246,0.960042735042735
"5","Rectifier",0.05,60,0,1e-08,0.996908442330559,0.963034188034188
"6","Rectifier",0.05,60,0,1e-09,0.99179548156956,0.96025641025641
"7","Rectifier",0.05,60,0,1e-10,0.976397146254459,0.942948717948718
"8","Rectifier",0.05,60,-1,1e-04,0.995237151539173,0.94059829059829
"9","Rectifier",0.05,60,-1,1e-05,0.998123926542476,0.973504273504274
"10","Rectifier",0.05,60,-1,1e-06,0.998731668648434,0.969871794871795
"11","Rectifier",0.05,60,-1,1e-07,0.99796538512353,0.964957264957265
"12","Rectifier",0.05,60,-1,1e-08,0.996591359492667,0.963461538461538
"13","Rectifier",0.05,60,-1,1e-09,0.991300039635355,0.962179487179487
"14","Rectifier",0.05,60,-1,1e-10,0.97853084951777,0.944017094017094
"15","Rectifier",0.05,60,-2,1e-04,0.983855198837363,0.94241452991453
"16","Rectifier",0.05,60,-2,1e-05,0.972803540758357,0.951282051282051
"17","Rectifier",0.05,60,-2,1e-06,0.996736689126701,0.960470085470086
"18","Rectifier",0.05,60,-2,1e-07,0.998308891531246,0.969444444444444
"19","Rectifier",0.05,60,-2,1e-08,0.995891134892324,0.960470085470086
"20","Rectifier",0.05,60,-2,1e-09,0.988294358567843,0.950213675213675
"21","Rectifier",0.05,60,-2,1e-10,0.974864579204651,0.937606837606838
