"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","train_AUC","val_AUC"
"1","Rectifier",0.3,70,0,1e-04,0.968820187607346,0.938675213675214
"2","Rectifier",0.3,70,0,1e-05,0.99346016646849,0.956517094017094
"3","Rectifier",0.3,70,0,1e-06,0.995336239926014,0.971581196581197
"4","Rectifier",0.3,70,0,1e-07,0.993407319328841,0.956196581196581
"5","Rectifier",0.3,70,0,1e-08,0.989926014004492,0.955982905982906
"6","Rectifier",0.3,70,0,1e-09,0.982950191570881,0.956196581196581
"7","Rectifier",0.3,70,0,1e-10,0.969038182058396,0.943162393162393
"8","Rectifier",0.3,70,-1,1e-04,0.984436517373497,0.937820512820513
"9","Rectifier",0.3,70,-1,1e-05,0.993935790725327,0.960042735042735
"10","Rectifier",0.3,70,-1,1e-06,0.994404809089708,0.960042735042735
"11","Rectifier",0.3,70,-1,1e-07,0.994953098163562,0.95491452991453
"12","Rectifier",0.3,70,-1,1e-08,0.989311666006077,0.960897435897436
"13","Rectifier",0.3,70,-1,1e-09,0.981880036992998,0.955555555555555
"14","Rectifier",0.3,70,-1,1e-10,0.967783062491743,0.938034188034188
"15","Rectifier",0.3,70,-2,1e-04,0.952325274144537,0.89241452991453
"16","Rectifier",0.3,70,-2,1e-05,0.982038578411944,0.957051282051282
"17","Rectifier",0.3,70,-2,1e-06,0.989641960628881,0.936752136752137
"18","Rectifier",0.3,70,-2,1e-07,0.989978861144141,0.954059829059829
"19","Rectifier",0.3,70,-2,1e-08,0.956255780155899,0.932051282051282
"20","Rectifier",0.3,70,-2,1e-09,0.979178226978465,0.957051282051282
"21","Rectifier",0.3,70,-2,1e-10,0.967314044127362,0.938247863247863
