"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","train_AUC","val_AUC"
"1","Rectifier",0.3,300,0,1e-04,0.961639582507597,0.941666666666667
"2","Rectifier",0.3,300,0,1e-05,0.984568635222619,0.951495726495727
"3","Rectifier",0.3,300,0,1e-06,0.986741973840666,0.953418803418803
"4","Rectifier",0.3,300,0,1e-07,0.987706434139252,0.956196581196581
"5","Rectifier",0.3,300,0,1e-08,0.980307834588453,0.959188034188034
"6","Rectifier",0.3,300,0,1e-09,0.97402563086273,0.952350427350427
"7","Rectifier",0.3,300,0,1e-10,0.968423834059981,0.951068376068376
"8","Rectifier",0.3,300,-1,1e-04,0.964717928392126,0.917735042735043
"9","Rectifier",0.3,300,-1,1e-05,0.978015589906196,0.947008547008547
"10","Rectifier",0.3,300,-1,1e-06,0.988809618179416,0.953205128205128
"11","Rectifier",0.3,300,-1,1e-07,0.988888888888889,0.957905982905983
"12","Rectifier",0.3,300,-1,1e-08,0.982058396089312,0.96025641025641
"13","Rectifier",0.3,300,-1,1e-09,0.973622671422909,0.953846153846154
"14","Rectifier",0.3,300,-1,1e-10,0.969282600079271,0.94957264957265
"15","Rectifier",0.3,300,-2,1e-04,0.904274012419078,0.878846153846154
"16","Rectifier",0.3,300,-2,1e-05,0.958845289998679,0.918376068376068
"17","Rectifier",0.3,300,-2,1e-06,0.95638789800502,0.946794871794872
"18","Rectifier",0.3,300,-2,1e-07,0.952331880036993,0.890598290598291
"19","Rectifier",0.3,300,-2,1e-08,0.968020874620161,0.933119658119658
"20","Rectifier",0.3,300,-2,1e-09,0.975459109525697,0.952991452991453
"21","Rectifier",0.3,300,-2,1e-10,0.969903553970141,0.952350427350427
