"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","train_AUC","val_AUC"
"1","Rectifier",0,40,0,1e-04,0.986523979389615,0.94957264957265
"2","Rectifier",0,40,0,1e-05,0.996763112696525,0.943589743589744
"3","Rectifier",0,40,0,1e-06,0.9977143612102,0.949786324786325
"4","Rectifier",0,40,0,1e-07,0.994120755714097,0.935042735042735
"5","Rectifier",0,40,0,1e-08,0.986662703131193,0.953846153846154
"6","Rectifier",0,40,0,1e-09,0.974336107808165,0.955555555555555
"7","Rectifier",0,40,0,1e-10,0.947826661381953,0.928205128205128
"8","Rectifier",0,40,-1,1e-04,0.986021931562954,0.94059829059829
"9","Rectifier",0,40,-1,1e-05,0.998678821508786,0.94017094017094
"10","Rectifier",0,40,-1,1e-06,0.997027348394768,0.939529914529915
"11","Rectifier",0,40,-1,1e-07,0.992931695072004,0.956623931623932
"12","Rectifier",0,40,-1,1e-08,0.988023516977144,0.952991452991453
"13","Rectifier",0,40,-1,1e-09,0.974857973312194,0.954487179487179
"14","Rectifier",0,40,-1,1e-10,0.95033690051526,0.928632478632479
"15","Rectifier",0,40,-2,1e-04,0.932705773550007,0.916239316239316
"16","Rectifier",0,40,-2,1e-05,0.943519619500595,0.91965811965812
"17","Rectifier",0,40,-2,1e-06,0.990276126304664,0.927777777777778
"18","Rectifier",0,40,-2,1e-07,0.985645395692958,0.946794871794872
"19","Rectifier",0,40,-2,1e-08,0.927863654379707,0.926495726495727
"20","Rectifier",0,40,-2,1e-09,0.971746597965385,0.951923076923077
"21","Rectifier",0,40,-2,1e-10,0.948229620821773,0.93525641025641
