"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","AUC","accuracy","precision","recall"
"1","Rectifier",0.2,90,0,1e-04,0.52621466,0.4577828,0.4259816,0.9530008
"2","Rectifier",0.2,90,0,1e-05,0.5817522,0.50517875,0.4468318,0.9341206
"3","Rectifier",0.2,90,0,1e-06,0.58585596,0.51069736,0.45176262,0.9394337
"4","Rectifier",0.2,90,0,1e-07,0.58585596,0.51069736,0.45176262,0.9394337
"5","Rectifier",0.2,90,0,1e-08,0.5807294,0.5227017,0.45149428,0.91687924
"6","Rectifier",0.2,90,0,1e-09,0.5826277,0.52955097,0.45417425,0.91000426
"7","Rectifier",0.2,90,0,1e-10,0.59664446,0.53397906,0.46025017,0.9471999
"8","Rectifier",0.2,90,-1,1e-04,0.55817074,0.47802672,0.43491116,0.96273994
"9","Rectifier",0.2,90,-1,1e-05,0.5862108,0.49969932,0.4467475,0.9490103
"10","Rectifier",0.2,90,-1,1e-06,0.5860592,0.51069736,0.45176262,0.9394337
"11","Rectifier",0.2,90,-1,1e-07,0.588337,0.51302296,0.45314977,0.947767
"12","Rectifier",0.2,90,-1,1e-08,0.58106977,0.51009303,0.44903165,0.9372456
"13","Rectifier",0.2,90,-1,1e-09,0.5898841,0.5074816,0.45039216,0.9594345
"14","Rectifier",0.2,90,-1,1e-10,0.5871516,0.5225581,0.45361617,0.9301023
"15","Rectifier",0.2,90,-2,1e-04,0.52472466,0.4210047,0.41083738,0.99375
"16","Rectifier",0.2,90,-2,1e-05,0.57221174,0.4865015,0.44003528,0.9580804
"17","Rectifier",0.2,90,-2,1e-06,0.5861063,0.50822824,0.45069996,0.9394337
"18","Rectifier",0.2,90,-2,1e-07,0.58585596,0.51069736,0.45176262,0.9394337
"19","Rectifier",0.2,90,-2,1e-08,0.58585596,0.51069736,0.45176262,0.9394337
"20","Rectifier",0.2,90,-2,1e-09,0.59398293,0.5186307,0.45619103,0.95156014
"21","Rectifier",0.2,90,-2,1e-10,0.58866453,0.5085796,0.45035532,0.95709974
