"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","AUC","accuracy","precision","recall"
"1","Rectifier",0.05,70,0,1e-04,0.5740876,0.49425903,0.44706017,0.9394337
"2","Rectifier",0.05,70,0,1e-05,0.59035397,0.5126324,0.45067278,0.927669
"3","Rectifier",0.05,70,0,1e-06,0.5824558,0.50187385,0.44735086,0.9458853
"4","Rectifier",0.05,70,0,1e-07,0.58585596,0.51069736,0.45176262,0.9394337
"5","Rectifier",0.05,70,0,1e-08,0.585816,0.5195478,0.45279714,0.9401023
"6","Rectifier",0.05,70,0,1e-09,0.5876454,0.51707864,0.45173445,0.94985837
"7","Rectifier",0.05,70,0,1e-10,0.5955592,0.5284996,0.45836845,0.9571999
"8","Rectifier",0.05,70,-1,1e-04,0.5424414,0.4476595,0.42120332,0.9567948
"9","Rectifier",0.05,70,-1,1e-05,0.585903,0.50517875,0.4468318,0.9341206
"10","Rectifier",0.05,70,-1,1e-06,0.5824558,0.50187385,0.44735086,0.9458853
"11","Rectifier",0.05,70,-1,1e-07,0.58585596,0.51069736,0.45176262,0.9394337
"12","Rectifier",0.05,70,-1,1e-08,0.5849208,0.50310016,0.4484736,0.95734364
"13","Rectifier",0.05,70,-1,1e-09,0.5839335,0.5085796,0.44855788,0.9424539
"14","Rectifier",0.05,70,-1,1e-10,0.5944454,0.54082835,0.4611327,0.9354352
"15","Rectifier",0.05,70,-2,1e-04,0.52125925,0.43204272,0.40910968,0.9809182
"16","Rectifier",0.05,70,-2,1e-05,0.5741258,0.49613896,0.44396996,0.94675076
"17","Rectifier",0.05,70,-2,1e-06,0.58694124,0.5161768,0.45364437,0.9294337
"18","Rectifier",0.05,70,-2,1e-07,0.58730423,0.5119237,0.45288536,0.95089203
"19","Rectifier",0.05,70,-2,1e-08,0.58495134,0.52146006,0.453653,0.94219315
"20","Rectifier",0.05,70,-2,1e-09,0.59464866,0.54082835,0.4611327,0.9354352
"21","Rectifier",0.05,70,-2,1e-10,0.5909791,0.51802635,0.45346007,0.95912814
