"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","AUC","accuracy","precision","recall"
"1","Rectifier",0,600,0,1e-04,0.58637685,0.50822824,0.45069996,0.9394337
"2","Rectifier",0,600,0,1e-05,0.5687982,0.492865,0.44007424,0.9387801
"3","Rectifier",0,600,0,1e-06,0.58855224,0.5038089,0.44626102,0.9341206
"4","Rectifier",0,600,0,1e-07,0.58824813,0.51206726,0.4525609,0.9523148
"5","Rectifier",0,600,0,1e-08,0.58415085,0.50872314,0.45003083,0.9390103
"6","Rectifier",0,600,0,1e-09,0.5887435,0.51439285,0.45394802,0.95089203
"7","Rectifier",0,600,0,1e-10,0.5867351,0.52604574,0.45582175,0.92531735
"8","Rectifier",0,600,-1,1e-04,0.5615942,0.48272565,0.44137803,0.9516288
"9","Rectifier",0,600,-1,1e-05,0.58033466,0.51435363,0.45089892,0.93557894
"10","Rectifier",0,600,-1,1e-06,0.5907074,0.5064063,0.44848323,0.9479137
"11","Rectifier",0,600,-1,1e-07,0.58824813,0.51206726,0.4525609,0.9523148
"12","Rectifier",0,600,-1,1e-08,0.5842382,0.50187385,0.44735086,0.9556414
"13","Rectifier",0,600,-1,1e-09,0.58585596,0.51069736,0.45176262,0.9394337
"14","Rectifier",0,600,-1,1e-10,0.59043574,0.5272733,0.4572457,0.93598545
"15","Rectifier",0,600,-2,1e-04,0.5242553,0.43417636,0.4137496,0.973868
"16","Rectifier",0,600,-2,1e-05,0.5808722,0.5096221,0.45142367,0.9394337
"17","Rectifier",0,600,-2,1e-06,0.5480929,0.4554581,0.42699215,0.9629251
"18","Rectifier",0,600,-2,1e-07,0.5519203,0.49229997,0.44233653,0.95650685
"19","Rectifier",0,600,-2,1e-08,0.5847336,0.50419945,0.448738,0.9542186
"20","Rectifier",0,600,-2,1e-09,0.5835637,0.5157088,0.4509362,0.93697727
"21","Rectifier",0,600,-2,1e-10,0.59389406,0.517675,0.45560217,0.9561079
