"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","AUC","accuracy","precision","recall"
"1","Rectifier",0,500,0,1e-04,0.5361109,0.4486405,0.42319453,0.9643135
"2","Rectifier",0,500,0,1e-05,0.5639572,0.4821123,0.4344992,0.95097524
"3","Rectifier",0,500,0,1e-06,0.5866632,0.5038089,0.44626102,0.9341206
"4","Rectifier",0,500,0,1e-07,0.5860592,0.51069736,0.45176262,0.9394337
"5","Rectifier",0,500,0,1e-08,0.5847336,0.50419945,0.448738,0.9542186
"6","Rectifier",0,500,0,1e-09,0.58813375,0.51302296,0.45314977,0.947767
"7","Rectifier",0,500,0,1e-10,0.58739483,0.5137077,0.45258167,0.9294337
"8","Rectifier",0,500,-1,1e-04,0.5612546,0.47586146,0.4370324,0.95054483
"9","Rectifier",0,500,-1,1e-05,0.5736535,0.48296636,0.44158575,0.9458853
"10","Rectifier",0,500,-1,1e-06,0.5874134,0.5038089,0.44626102,0.9341206
"11","Rectifier",0,500,-1,1e-07,0.58585596,0.51069736,0.45176262,0.9394337
"12","Rectifier",0,500,-1,1e-08,0.5855466,0.5055693,0.44953626,0.95734364
"13","Rectifier",0,500,-1,1e-09,0.5864657,0.51206726,0.4525609,0.9425587
"14","Rectifier",0,500,-1,1e-10,0.58921903,0.5185024,0.45503148,0.937767
"15","Rectifier",0,500,-2,1e-04,0.52224046,0.43478245,0.4187504,0.9895579
"16","Rectifier",0,500,-2,1e-05,0.5472043,0.45298895,0.4259295,0.9629251
"17","Rectifier",0,500,-2,1e-06,0.5688655,0.4907146,0.44565856,0.9491898
"18","Rectifier",0,500,-2,1e-07,0.5876384,0.51069736,0.45176262,0.9491898
"19","Rectifier",0,500,-2,1e-08,0.5835411,0.5073533,0.44923258,0.9358853
"20","Rectifier",0,500,-2,1e-09,0.5874736,0.5228826,0.45485136,0.9260023
"21","Rectifier",0,500,-2,1e-10,0.5878204,0.5315252,0.45770347,0.9153173
