"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","AUC","accuracy","precision","recall"
"1","Rectifier",0.05,800,0,1e-04,0.5515181,0.46989608,0.43286455,0.9456837
"2","Rectifier",0.05,800,0,1e-05,0.5370996,0.4405809,0.4208242,0.97510326
"3","Rectifier",0.05,800,0,1e-06,0.581911,0.5038089,0.44626102,0.9341206
"4","Rectifier",0.05,800,0,1e-07,0.58813375,0.51302296,0.45314977,0.947767
"5","Rectifier",0.05,800,0,1e-08,0.5847336,0.50419945,0.448738,0.9542186
"6","Rectifier",0.05,800,0,1e-09,0.588337,0.51302296,0.45314977,0.947767
"7","Rectifier",0.05,800,0,1e-10,0.59214336,0.529319,0.45893452,0.94292045
"8","Rectifier",0.05,800,-1,1e-04,0.5485209,0.4604891,0.4297168,0.96273994
"9","Rectifier",0.05,800,-1,1e-05,0.5588837,0.46212366,0.43064824,0.95699644
"10","Rectifier",0.05,800,-1,1e-06,0.59011763,0.5137077,0.45101172,0.927669
"11","Rectifier",0.05,800,-1,1e-07,0.5838602,0.5175467,0.45264515,0.927669
"12","Rectifier",0.05,800,-1,1e-08,0.58858734,0.51055384,0.4520871,0.947767
"13","Rectifier",0.05,800,-1,1e-09,0.588337,0.51302296,0.45314977,0.947767
"14","Rectifier",0.05,800,-1,1e-10,0.5860592,0.51069736,0.45176262,0.9394337
"15","Rectifier",0.05,800,-2,1e-04,0.51430553,0.4164092,0.4072403,0.98888886
"16","Rectifier",0.05,800,-2,1e-05,0.5639963,0.4764921,0.43589336,0.9639922
"17","Rectifier",0.05,800,-2,1e-06,0.5621848,0.4848463,0.43849555,0.95320237
"18","Rectifier",0.05,800,-2,1e-07,0.5860592,0.51069736,0.45176262,0.9394337
"19","Rectifier",0.05,800,-2,1e-08,0.585003,0.5181779,0.45199886,0.93697727
"20","Rectifier",0.05,800,-2,1e-09,0.5871916,0.5137077,0.45258167,0.9294337
"21","Rectifier",0.05,800,-2,1e-10,0.587551,0.5175467,0.45444262,0.9325587
