"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","AUC","accuracy","precision","recall"
"1","Rectifier",0.05,20,0,1e-04,0.5495481,0.47038215,0.42905062,0.9530008
"2","Rectifier",0.05,20,0,1e-05,0.5859576,0.51069736,0.45176262,0.9394337
"3","Rectifier",0.05,20,0,1e-06,0.5860592,0.51069736,0.45176262,0.9394337
"4","Rectifier",0.05,20,0,1e-07,0.5887306,0.5252991,0.45551392,0.935562
"5","Rectifier",0.05,20,0,1e-08,0.58811146,0.5125469,0.45157835,0.95937204
"6","Rectifier",0.05,20,0,1e-09,0.5909893,0.511177,0.45257753,0.96113676
"7","Rectifier",0.05,20,0,1e-10,0.5932443,0.5251555,0.4558384,0.9536515
"8","Rectifier",0.05,20,-1,1e-04,0.5533053,0.4568038,0.42964694,0.9709112
"9","Rectifier",0.05,20,-1,1e-05,0.58585596,0.51069736,0.45176262,0.9394337
"10","Rectifier",0.05,20,-1,1e-06,0.58585596,0.51069736,0.45176262,0.9394337
"11","Rectifier",0.05,20,-1,1e-07,0.58625233,0.51891655,0.4534434,0.9405501
"12","Rectifier",0.05,20,-1,1e-08,0.58893394,0.5225581,0.45361617,0.9398584
"13","Rectifier",0.05,20,-1,1e-09,0.58407336,0.51405907,0.4504396,0.93245393
"14","Rectifier",0.05,20,-1,1e-10,0.5909665,0.52282995,0.45445126,0.94531816
"15","Rectifier",0.05,20,-2,1e-04,0.5316418,0.4372014,0.41586012,0.9689899
"16","Rectifier",0.05,20,-2,1e-05,0.58585596,0.51069736,0.45176262,0.9394337
"17","Rectifier",0.05,20,-2,1e-06,0.5861254,0.52467585,0.4550235,0.92219234
"18","Rectifier",0.05,20,-2,1e-07,0.5935294,0.5210998,0.45725372,0.95156014
"19","Rectifier",0.05,20,-2,1e-08,0.59215903,0.519676,0.4539567,0.9636515
"20","Rectifier",0.05,20,-2,1e-09,0.59063876,0.53063494,0.4559227,0.9387618
"21","Rectifier",0.05,20,-2,1e-10,0.5864529,0.5202325,0.45222905,0.93152505
