"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","AUC","accuracy","precision","recall"
"1","Rectifier",0.1,400,0,1e-04,0.5038698,0.41736388,0.4050573,0.98275864
"2","Rectifier",0.1,400,0,1e-05,0.57939035,0.49198094,0.44034705,0.9463157
"3","Rectifier",0.1,400,0,1e-06,0.5895781,0.51886266,0.4498608,0.9266353
"4","Rectifier",0.1,400,0,1e-07,0.58585596,0.51069736,0.45176262,0.9394337
"5","Rectifier",0.1,400,0,1e-08,0.5898569,0.5081667,0.45175847,0.97113675
"6","Rectifier",0.1,400,0,1e-09,0.5864657,0.51206726,0.4525609,0.9425587
"7","Rectifier",0.1,400,0,1e-10,0.5872204,0.5352206,0.45809144,0.92188597
"8","Rectifier",0.1,400,-1,1e-04,0.54775494,0.45564917,0.42961338,0.9753218
"9","Rectifier",0.1,400,-1,1e-05,0.5831063,0.50517875,0.4468318,0.9341206
"10","Rectifier",0.1,400,-1,1e-06,0.58769065,0.5126324,0.45067278,0.927669
"11","Rectifier",0.1,400,-1,1e-07,0.58585596,0.51069736,0.45176262,0.9394337
"12","Rectifier",0.1,400,-1,1e-08,0.5864657,0.51206726,0.4525609,0.9425587
"13","Rectifier",0.1,400,-1,1e-09,0.58585596,0.51069736,0.45176262,0.9394337
"14","Rectifier",0.1,400,-1,1e-10,0.586669,0.51206726,0.4525609,0.9425587
"15","Rectifier",0.1,400,-2,1e-04,0.5277289,0.43588972,0.41624463,0.9854406
"16","Rectifier",0.1,400,-2,1e-05,0.53137606,0.47126594,0.43343532,0.9554398
"17","Rectifier",0.1,400,-2,1e-06,0.57126886,0.48680535,0.44321918,0.9458853
"18","Rectifier",0.1,400,-2,1e-07,0.58585596,0.51069736,0.45176262,0.9394337
"19","Rectifier",0.1,400,-2,1e-08,0.58694124,0.5161768,0.45364437,0.9294337
"20","Rectifier",0.1,400,-2,1e-09,0.58841425,0.51104873,0.45141798,0.95709974
"21","Rectifier",0.1,400,-2,1e-10,0.5892558,0.52562356,0.4567491,0.9314621
