"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","AUC","accuracy","precision","recall"
"1","Rectifier",0.1,30,0,1e-04,0.56198543,0.48249546,0.43593356,0.9456837
"2","Rectifier",0.1,30,0,1e-05,0.5871923,0.50187385,0.44757834,0.9587664
"3","Rectifier",0.1,30,0,1e-06,0.58585596,0.51069736,0.45176262,0.9394337
"4","Rectifier",0.1,30,0,1e-07,0.58585596,0.51069736,0.45176262,0.9394337
"5","Rectifier",0.1,30,0,1e-08,0.5904468,0.5113206,0.45225307,0.9625595
"6","Rectifier",0.1,30,0,1e-09,0.58723783,0.53315747,0.4576885,0.91389745
"7","Rectifier",0.1,30,0,1e-10,0.58533317,0.5124186,0.4504188,0.955335
"8","Rectifier",0.1,30,-1,1e-04,0.5481361,0.46295822,0.43100697,0.96586496
"9","Rectifier",0.1,30,-1,1e-05,0.5819178,0.51647145,0.4525337,0.930794
"10","Rectifier",0.1,30,-1,1e-06,0.58585596,0.51069736,0.45176262,0.9394337
"11","Rectifier",0.1,30,-1,1e-07,0.58585596,0.51069736,0.45176262,0.9394337
"12","Rectifier",0.1,30,-1,1e-08,0.5903767,0.519676,0.4539567,0.9538954
"13","Rectifier",0.1,30,-1,1e-09,0.58443284,0.5178981,0.45230052,0.93557894
"14","Rectifier",0.1,30,-1,1e-10,0.59060186,0.5262548,0.45610282,0.9407704
"15","Rectifier",0.1,30,-2,1e-04,0.5323151,0.44277036,0.41684642,0.98243725
"16","Rectifier",0.1,30,-2,1e-05,0.58513373,0.51769894,0.45395768,0.9414621
"17","Rectifier",0.1,30,-2,1e-06,0.58585596,0.51069736,0.45176262,0.9394337
"18","Rectifier",0.1,30,-2,1e-07,0.5858189,0.5096789,0.45061973,0.94421864
"19","Rectifier",0.1,30,-2,1e-08,0.58784866,0.51707864,0.45173445,0.94985837
"20","Rectifier",0.1,30,-2,1e-09,0.58779114,0.5219269,0.45426247,0.9305501
"21","Rectifier",0.1,30,-2,1e-10,0.58918417,0.52282995,0.45445126,0.935562
