"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","AUC","accuracy","precision","recall"
"1","Rectifier",0,20,0,1e-04,0.5713363,0.48573008,0.44288024,0.9458853
"2","Rectifier",0,20,0,1e-05,0.5859576,0.51069736,0.45176262,0.9394337
"3","Rectifier",0,20,0,1e-06,0.5860592,0.51069736,0.45176262,0.9394337
"4","Rectifier",0,20,0,1e-07,0.59436667,0.53165346,0.45886305,0.9388665
"5","Rectifier",0,20,0,1e-08,0.5912485,0.53200483,0.45672095,0.9418868
"6","Rectifier",0,20,0,1e-09,0.58956367,0.5183062,0.45315844,0.9507704
"7","Rectifier",0,20,0,1e-10,0.592994,0.52762467,0.45690107,0.9536515
"8","Rectifier",0,20,-1,1e-04,0.5429334,0.45993316,0.42866898,0.9578619
"9","Rectifier",0,20,-1,1e-05,0.5886764,0.5116531,0.452579,0.947767
"10","Rectifier",0,20,-1,1e-06,0.58585596,0.51069736,0.45176262,0.9394337
"11","Rectifier",0,20,-1,1e-07,0.5917243,0.53275275,0.45912746,0.9259854
"12","Rectifier",0,20,-1,1e-08,0.5912485,0.53200483,0.45672095,0.9418868
"13","Rectifier",0,20,-1,1e-09,0.58703566,0.5157088,0.4509362,0.94673336
"14","Rectifier",0,20,-1,1e-10,0.5912587,0.5251555,0.4558384,0.9438954
"15","Rectifier",0,20,-2,1e-04,0.5520141,0.46200356,0.43296248,0.9688702
"16","Rectifier",0,20,-2,1e-05,0.5910819,0.50918394,0.45151633,0.947767
"17","Rectifier",0,20,-2,1e-06,0.5832688,0.5032437,0.4481491,0.9490103
"18","Rectifier",0,20,-2,1e-07,0.5894975,0.5043277,0.44989756,0.96801174
"19","Rectifier",0,20,-2,1e-08,0.58495253,0.52940744,0.4544987,0.9183376
"20","Rectifier",0,20,-2,1e-09,0.59117126,0.53397906,0.45845273,0.93255407
"21","Rectifier",0,20,-2,1e-10,0.5901535,0.52146006,0.453653,0.94219315
