"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","AUC","accuracy","precision","recall"
"1","Rectifier",0.2,80,0,1e-04,0.5520272,0.47087708,0.43485576,0.95320237
"2","Rectifier",0.2,80,0,1e-05,0.58668643,0.5276862,0.4542726,0.91042763
"3","Rectifier",0.2,80,0,1e-06,0.5838602,0.5175467,0.45264515,0.927669
"4","Rectifier",0.2,80,0,1e-07,0.58585596,0.51069736,0.45176262,0.9394337
"5","Rectifier",0.2,80,0,1e-08,0.5863286,0.52467585,0.4550235,0.92219234
"6","Rectifier",0.2,80,0,1e-09,0.5815453,0.5142026,0.4501151,0.9241206
"7","Rectifier",0.2,80,0,1e-10,0.59161437,0.5251555,0.4558384,0.9438954
"8","Rectifier",0.2,80,-1,1e-04,0.5610332,0.47925586,0.43718788,0.9639922
"9","Rectifier",0.2,80,-1,1e-05,0.5855259,0.5137077,0.45101172,0.927669
"10","Rectifier",0.2,80,-1,1e-06,0.58585596,0.51069736,0.45176262,0.9394337
"11","Rectifier",0.2,80,-1,1e-07,0.58585596,0.51069736,0.45176262,0.9394337
"12","Rectifier",0.2,80,-1,1e-08,0.59027934,0.52700144,0.45641065,0.94028175
"13","Rectifier",0.2,80,-1,1e-09,0.5887929,0.5290561,0.4566408,0.9153173
"14","Rectifier",0.2,80,-1,1e-10,0.5890999,0.52762467,0.45510364,0.94876176
"15","Rectifier",0.2,80,-2,1e-04,0.5175317,0.41257003,0.4050052,0.99268293
"16","Rectifier",0.2,80,-2,1e-05,0.56286263,0.48326096,0.44181758,0.9458853
"17","Rectifier",0.2,80,-2,1e-06,0.53976935,0.48294115,0.43748522,0.9589459
"18","Rectifier",0.2,80,-2,1e-07,0.5836079,0.50932753,0.45119184,0.9394337
"19","Rectifier",0.2,80,-2,1e-08,0.5890129,0.52837133,0.4572089,0.9336507
"20","Rectifier",0.2,80,-2,1e-09,0.5872013,0.518773,0.4537679,0.9391273
"21","Rectifier",0.2,80,-2,1e-10,0.5842766,0.51405907,0.4504396,0.93245393
