"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","train_AUC","val_AUC"
"1","Rectifier",0.1,70,0,1e-04,0.972533156498674,0.956196581196581
"2","Rectifier",0.1,70,0,1e-05,0.992824933687003,0.967094017094017
"3","Rectifier",0.1,70,0,1e-06,0.991213527851459,0.966239316239316
"4","Rectifier",0.1,70,0,1e-07,0.988859416445623,0.967307692307692
"5","Rectifier",0.1,70,0,1e-08,0.988759946949602,0.974786324786325
"6","Rectifier",0.1,70,0,1e-09,0.98236074270557,0.973931623931624
"7","Rectifier",0.1,70,0,1e-10,0.978992042440318,0.972649572649573
"8","Rectifier",0.1,70,-1,1e-04,0.975576923076923,0.946367521367521
"9","Rectifier",0.1,70,-1,1e-05,0.994555702917772,0.960042735042735
"10","Rectifier",0.1,70,-1,1e-06,0.991949602122016,0.963461538461538
"11","Rectifier",0.1,70,-1,1e-07,0.976903183023873,0.969017094017094
"12","Rectifier",0.1,70,-1,1e-08,0.988998673740053,0.970940170940171
"13","Rectifier",0.1,70,-1,1e-09,0.982062334217507,0.972008547008547
"14","Rectifier",0.1,70,-1,1e-10,0.978912466843501,0.970726495726496
"15","Rectifier",0.1,70,-2,1e-04,0.982320954907162,0.96292735042735
"16","Rectifier",0.1,70,-2,1e-05,0.981352785145889,0.961111111111111
"17","Rectifier",0.1,70,-2,1e-06,0.978978779840849,0.939102564102564
"18","Rectifier",0.1,70,-2,1e-07,0.98709549071618,0.967948717948718
"19","Rectifier",0.1,70,-2,1e-08,0.987201591511936,0.972222222222222
"20","Rectifier",0.1,70,-2,1e-09,0.976366047745358,0.965598290598291
"21","Rectifier",0.1,70,-2,1e-10,0.97895225464191,0.96965811965812
