"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","train_AUC","val_AUC"
"1","Rectifier",0.1,600,0,1e-04,0.990974801061008,0.970512820512821
"2","Rectifier",0.1,600,0,1e-05,0.999741379310345,0.964957264957265
"3","Rectifier",0.1,600,0,1e-06,1,0.947863247863248
"4","Rectifier",0.1,600,0,1e-07,0.976942970822281,0.970726495726496
"5","Rectifier",0.1,600,0,1e-08,0.996286472148541,0.971581196581197
"6","Rectifier",0.1,600,0,1e-09,0.991883289124668,0.968376068376068
"7","Rectifier",0.1,600,0,1e-10,0.988063660477454,0.972649572649573
"8","Rectifier",0.1,600,-1,1e-04,0.995179045092838,0.933974358974359
"9","Rectifier",0.1,600,-1,1e-05,0.999509283819629,0.963247863247863
"10","Rectifier",0.1,600,-1,1e-06,0.999854111405835,0.957478632478633
"11","Rectifier",0.1,600,-1,1e-07,0.999641909814324,0.964957264957265
"12","Rectifier",0.1,600,-1,1e-08,0.996206896551724,0.967948717948718
"13","Rectifier",0.1,600,-1,1e-09,0.992261273209549,0.96965811965812
"14","Rectifier",0.1,600,-1,1e-10,0.988050397877984,0.971794871794872
"15","Rectifier",0.1,600,-2,1e-04,0.973249336870027,0.947863247863248
"16","Rectifier",0.1,600,-2,1e-05,0.998381962864721,0.952991452991453
"17","Rectifier",0.1,600,-2,1e-06,0.98157824933687,0.970299145299145
"18","Rectifier",0.1,600,-2,1e-07,0.982924403183024,0.968803418803419
"19","Rectifier",0.1,600,-2,1e-08,0.977884615384615,0.965811965811966
"20","Rectifier",0.1,600,-2,1e-09,0.971007957559682,0.947435897435898
"21","Rectifier",0.1,600,-2,1e-10,0.986889920424403,0.972222222222222
