"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","train_AUC","val_AUC"
"1","Rectifier",0.1,40,0,1e-04,0.96643899204244,0.921794871794872
"2","Rectifier",0.1,40,0,1e-05,0.998740053050398,0.96474358974359
"3","Rectifier",0.1,40,0,1e-06,0.999615384615385,0.945512820512821
"4","Rectifier",0.1,40,0,1e-07,0.997480106100796,0.953418803418803
"5","Rectifier",0.1,40,0,1e-08,0.995066312997347,0.955982905982906
"6","Rectifier",0.1,40,0,1e-09,0.989111405835544,0.952564102564103
"7","Rectifier",0.1,40,0,1e-10,0.984515915119363,0.946367521367521
"8","Rectifier",0.1,40,-1,1e-04,0.997347480106101,0.964423076923077
"9","Rectifier",0.1,40,-1,1e-05,0.980510610079576,0.940811965811966
"10","Rectifier",0.1,40,-1,1e-06,0.980981432360743,0.950213675213675
"11","Rectifier",0.1,40,-1,1e-07,0.999310344827586,0.952991452991453
"12","Rectifier",0.1,40,-1,1e-08,0.994880636604775,0.947008547008547
"13","Rectifier",0.1,40,-1,1e-09,0.989728116710875,0.95
"14","Rectifier",0.1,40,-1,1e-10,0.984502652519894,0.943589743589744
"15","Rectifier",0.1,40,-2,1e-04,0.974555702917772,0.932478632478632
"16","Rectifier",0.1,40,-2,1e-05,0.997307692307692,0.958333333333333
"17","Rectifier",0.1,40,-2,1e-06,0.996366047745358,0.95534188034188
"18","Rectifier",0.1,40,-2,1e-07,0.985954907161804,0.936538461538462
"19","Rectifier",0.1,40,-2,1e-08,0.976465517241379,0.922222222222222
"20","Rectifier",0.1,40,-2,1e-09,0.989708222811671,0.953632478632479
"21","Rectifier",0.1,40,-2,1e-10,0.983209549071618,0.939102564102564
