"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","train_AUC","val_AUC"
"1","Rectifier",0.1,90,0,1e-04,0.997606100795756,0.938675213675214
"2","Rectifier",0.1,90,0,1e-05,0.999787798408488,0.938675213675214
"3","Rectifier",0.1,90,0,1e-06,1,0.937393162393162
"4","Rectifier",0.1,90,0,1e-07,0.999708222811671,0.943162393162393
"5","Rectifier",0.1,90,0,1e-08,0.997480106100796,0.954273504273504
"6","Rectifier",0.1,90,0,1e-09,0.993448275862069,0.952991452991453
"7","Rectifier",0.1,90,0,1e-10,0.989157824933687,0.948504273504273
"8","Rectifier",0.1,90,-1,1e-04,0.97143899204244,0.927136752136752
"9","Rectifier",0.1,90,-1,1e-05,0.999509283819629,0.958547008547009
"10","Rectifier",0.1,90,-1,1e-06,1,0.949358974358974
"11","Rectifier",0.1,90,-1,1e-07,0.980503978779841,0.938888888888889
"12","Rectifier",0.1,90,-1,1e-08,0.99763925729443,0.95042735042735
"13","Rectifier",0.1,90,-1,1e-09,0.993879310344828,0.955769230769231
"14","Rectifier",0.1,90,-1,1e-10,0.988222811671088,0.947649572649573
"15","Rectifier",0.1,90,-2,1e-04,0.982188328912467,0.921367521367521
"16","Rectifier",0.1,90,-2,1e-05,0.996167108753316,0.952991452991453
"17","Rectifier",0.1,90,-2,1e-06,0.963554376657825,0.882051282051282
"18","Rectifier",0.1,90,-2,1e-07,0.982347480106101,0.951709401709402
"19","Rectifier",0.1,90,-2,1e-08,0.996034482758621,0.955555555555555
"20","Rectifier",0.1,90,-2,1e-09,0.994416445623342,0.951068376068376
"21","Rectifier",0.1,90,-2,1e-10,0.98854774535809,0.949786324786325
