"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","AUC","accuracy","precision","recall"
"1","Rectifier",0,70,0,1e-04,0.8879049,0.86483186,0.8555279,0.81835485
"2","Rectifier",0,70,0,1e-05,0.92646706,0.8948314,0.8819093,0.850777
"3","Rectifier",0,70,0,1e-06,0.9187231,0.8846357,0.84978443,0.8725352
"4","Rectifier",0,70,0,1e-07,0.9193865,0.88319206,0.8358357,0.8881759
"5","Rectifier",0,70,0,1e-08,0.9089697,0.884867,0.86887735,0.84602153
"6","Rectifier",0,70,0,1e-09,0.9337431,0.9068359,0.9066922,0.85557187
"7","Rectifier",0,70,0,1e-10,0.9263653,0.8925177,0.87624305,0.8554224
"8","Rectifier",0,70,-1,1e-04,0.9221769,0.8807257,0.86371946,0.8380831
"9","Rectifier",0,70,-1,1e-05,0.91938,0.89058685,0.8654353,0.8635307
"10","Rectifier",0,70,-1,1e-06,0.91845924,0.8863192,0.8530509,0.86715764
"11","Rectifier",0,70,-1,1e-07,0.9090952,0.882522,0.8663427,0.83412063
"12","Rectifier",0,70,-1,1e-08,0.8958771,0.8614189,0.8062509,0.8649057
"13","Rectifier",0,70,-1,1e-09,0.9343163,0.90265137,0.8747509,0.88094777
"14","Rectifier",0,70,-1,1e-10,0.92697173,0.89095193,0.8622455,0.86538404
"15","Rectifier",0,70,-2,1e-04,0.9252601,0.89760643,0.9035155,0.8385687
"16","Rectifier",0,70,-2,1e-05,0.93176866,0.9080648,0.9185913,0.8476583
"17","Rectifier",0,70,-2,1e-06,0.930316,0.8980145,0.88315904,0.8624027
"18","Rectifier",0,70,-2,1e-07,0.9302727,0.8964624,0.88051367,0.863668
"19","Rectifier",0,70,-2,1e-08,0.9237327,0.88984716,0.86686015,0.8663641
"20","Rectifier",0,70,-2,1e-09,0.9245803,0.89085275,0.88850534,0.8351408
"21","Rectifier",0,70,-2,1e-10,0.93078357,0.89750105,0.8681031,0.87685436
