"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","AUC","accuracy","precision","recall"
"1","Rectifier",0.05,60,0,1e-04,0.9267877,0.88637066,0.8680629,0.85159904
"2","Rectifier",0.05,60,0,1e-05,0.9260405,0.8948604,0.8906672,0.84767944
"3","Rectifier",0.05,60,0,1e-06,0.92477524,0.896496,0.89175045,0.859021
"4","Rectifier",0.05,60,0,1e-07,0.9330639,0.89392996,0.87284946,0.8642954
"5","Rectifier",0.05,60,0,1e-08,0.9337962,0.898657,0.8783643,0.8768831
"6","Rectifier",0.05,60,0,1e-09,0.9420856,0.9085094,0.91263133,0.8516935
"7","Rectifier",0.05,60,0,1e-10,0.9282741,0.8913925,0.87080777,0.8782639
"8","Rectifier",0.05,60,-1,1e-04,0.9309838,0.8982588,0.89703166,0.853363
"9","Rectifier",0.05,60,-1,1e-05,0.93296313,0.89263475,0.87113255,0.86442244
"10","Rectifier",0.05,60,-1,1e-06,0.9299317,0.8907147,0.84451586,0.8980588
"11","Rectifier",0.05,60,-1,1e-07,0.9247114,0.89144975,0.8603028,0.8686772
"12","Rectifier",0.05,60,-1,1e-08,0.9276123,0.89552766,0.88996917,0.85279286
"13","Rectifier",0.05,60,-1,1e-09,0.9396455,0.90876675,0.9120674,0.86135834
"14","Rectifier",0.05,60,-1,1e-10,0.92892087,0.89078695,0.8682706,0.87907505
"15","Rectifier",0.05,60,-2,1e-04,0.94093025,0.9040652,0.8878252,0.8714727
"16","Rectifier",0.05,60,-2,1e-05,0.94144505,0.9095858,0.8953243,0.8809589
"17","Rectifier",0.05,60,-2,1e-06,0.93681234,0.910294,0.892862,0.88509476
"18","Rectifier",0.05,60,-2,1e-07,0.9380058,0.9087114,0.90308726,0.87243265
"19","Rectifier",0.05,60,-2,1e-08,0.92997247,0.90313184,0.9121956,0.8488493
"20","Rectifier",0.05,60,-2,1e-09,0.9428122,0.9051497,0.89863765,0.8671294
"21","Rectifier",0.05,60,-2,1e-10,0.93036544,0.8996778,0.8842228,0.8685562
