"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","AUC","accuracy","precision","recall"
"1","Rectifier",0.1,500,0,1e-04,0.93419814,0.89938915,0.868414,0.8788608
"2","Rectifier",0.1,500,0,1e-05,0.92060584,0.88298595,0.865234,0.8465541
"3","Rectifier",0.1,500,0,1e-06,0.9340076,0.9045509,0.88294345,0.8797699
"4","Rectifier",0.1,500,0,1e-07,0.92423946,0.8875622,0.88294244,0.8361028
"5","Rectifier",0.1,500,0,1e-08,0.907327,0.87817454,0.8651339,0.83792365
"6","Rectifier",0.1,500,0,1e-09,0.94510734,0.9090268,0.9102343,0.8607217
"7","Rectifier",0.1,500,0,1e-10,0.94344205,0.91030115,0.9050591,0.8650459
"8","Rectifier",0.1,500,-1,1e-04,0.91226405,0.8923941,0.9106277,0.8094341
"9","Rectifier",0.1,500,-1,1e-05,0.92673993,0.89050823,0.87876487,0.85037875
"10","Rectifier",0.1,500,-1,1e-06,0.9255727,0.8902758,0.86082685,0.8649599
"11","Rectifier",0.1,500,-1,1e-07,0.9235848,0.88557714,0.84988177,0.86531144
"12","Rectifier",0.1,500,-1,1e-08,0.9176486,0.87934834,0.84608597,0.8730854
"13","Rectifier",0.1,500,-1,1e-09,0.9442274,0.9139818,0.91039544,0.8691839
"14","Rectifier",0.1,500,-1,1e-10,0.94312686,0.90996355,0.9105011,0.86642957
"15","Rectifier",0.1,500,-2,1e-04,0.9318946,0.90249765,0.8673938,0.89222634
"16","Rectifier",0.1,500,-2,1e-05,0.94785523,0.9205133,0.90977246,0.8898946
"17","Rectifier",0.1,500,-2,1e-06,0.93782306,0.9117688,0.89938354,0.872561
"18","Rectifier",0.1,500,-2,1e-07,0.93046826,0.9118966,0.9091549,0.8736588
"19","Rectifier",0.1,500,-2,1e-08,0.94118387,0.91625184,0.9308065,0.85741824
"20","Rectifier",0.1,500,-2,1e-09,0.9357907,0.9110023,0.9135071,0.8604455
"21","Rectifier",0.1,500,-2,1e-10,0.9462413,0.9141894,0.90540713,0.8744736
