"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","AUC","accuracy","precision","recall"
"1","Rectifier",0,60,0,1e-04,0.9384286,0.908145,0.92179185,0.8446344
"2","Rectifier",0,60,0,1e-05,0.92200685,0.89517224,0.88965154,0.8433834
"3","Rectifier",0,60,0,1e-06,0.92571825,0.89362335,0.8602777,0.87452537
"4","Rectifier",0,60,0,1e-07,0.9142621,0.87729174,0.8354764,0.8684091
"5","Rectifier",0,60,0,1e-08,0.8886849,0.8528113,0.8057486,0.84426105
"6","Rectifier",0,60,0,1e-09,0.93309426,0.89904606,0.88655514,0.85700214
"7","Rectifier",0,60,0,1e-10,0.92571896,0.8911075,0.86855257,0.86108273
"8","Rectifier",0,60,-1,1e-04,0.92158496,0.8962235,0.8875583,0.8455411
"9","Rectifier",0,60,-1,1e-05,0.9255867,0.8898169,0.8519465,0.87953836
"10","Rectifier",0,60,-1,1e-06,0.91960543,0.89090854,0.8680396,0.8568702
"11","Rectifier",0,60,-1,1e-07,0.9154499,0.88677514,0.85819805,0.8627592
"12","Rectifier",0,60,-1,1e-08,0.8853121,0.8554609,0.82421434,0.8248167
"13","Rectifier",0,60,-1,1e-09,0.9352801,0.9027741,0.89333695,0.8587566
"14","Rectifier",0,60,-1,1e-10,0.9256763,0.88887346,0.8613255,0.8628283
"15","Rectifier",0,60,-2,1e-04,0.92777556,0.8877514,0.8789623,0.83978844
"16","Rectifier",0,60,-2,1e-05,0.9406634,0.90658706,0.8989452,0.86792135
"17","Rectifier",0,60,-2,1e-06,0.92939514,0.9010294,0.8873693,0.86346537
"18","Rectifier",0,60,-2,1e-07,0.92239624,0.8911243,0.87740743,0.85103697
"19","Rectifier",0,60,-2,1e-08,0.92394847,0.8932967,0.870106,0.8640467
"20","Rectifier",0,60,-2,1e-09,0.9249859,0.8991182,0.8983997,0.84675527
"21","Rectifier",0,60,-2,1e-10,0.92569876,0.89450896,0.8599225,0.8836474
