"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","train_AUC","val_AUC"
"1","Rectifier",0,300,0,1e-04,0.998090185676393,0.957051282051282
"2","Rectifier",0,300,0,1e-05,0.97696949602122,0.957478632478633
"3","Rectifier",0,300,0,1e-06,0.971167108753316,0.951068376068376
"4","Rectifier",0,300,0,1e-07,1,0.967094017094017
"5","Rectifier",0,300,0,1e-08,0.953269230769231,0.953418803418803
"6","Rectifier",0,300,0,1e-09,0.999694960212201,0.968589743589744
"7","Rectifier",0,300,0,1e-10,0.995968169761273,0.96965811965812
"8","Rectifier",0,300,-1,1e-04,0.950318302387268,0.918910256410256
"9","Rectifier",0,300,-1,1e-05,1,0.973076923076923
"10","Rectifier",0,300,-1,1e-06,0.976114058355438,0.954273504273504
"11","Rectifier",0,300,-1,1e-07,0.979058355437666,0.969444444444444
"12","Rectifier",0,300,-1,1e-08,0.99998673740053,0.97542735042735
"13","Rectifier",0,300,-1,1e-09,0.999708222811671,0.970299145299145
"14","Rectifier",0,300,-1,1e-10,0.996114058355438,0.968803418803419
"15","Rectifier",0,300,-2,1e-04,0.988978779840849,0.964102564102564
"16","Rectifier",0,300,-2,1e-05,0.998872679045093,0.958974358974359
"17","Rectifier",0,300,-2,1e-06,0.983309018567639,0.939957264957265
"18","Rectifier",0,300,-2,1e-07,0.988958885941644,0.951709401709402
"19","Rectifier",0,300,-2,1e-08,0.963786472148541,0.950213675213675
"20","Rectifier",0,300,-2,1e-09,0.999588859416445,0.963675213675214
"21","Rectifier",0,300,-2,1e-10,0.995769230769231,0.968376068376068
