"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","AUC","accuracy","precision","recall"
"1","Tanh",0,80,0,1e-04,0.8716834,0.84843445,0.8051727,0.8231705
"2","Tanh",0,80,0,1e-05,0.90020937,0.8646775,0.8317622,0.83379453
"3","Tanh",0,80,0,1e-06,0.88832897,0.8602514,0.832894,0.8405527
"4","Tanh",0,80,0,1e-07,0.8855219,0.8451469,0.78688675,0.84695846
"5","Tanh",0,80,0,1e-08,0.8949415,0.8644582,0.83006483,0.83191013
"6","Tanh",0,80,0,1e-09,0.900673,0.8669354,0.81685585,0.8710688
"7","Tanh",0,80,0,1e-10,0.9011224,0.8564752,0.80434823,0.86323184
"8","Tanh",0,80,-1,1e-04,0.82155085,0.7971306,0.72034585,0.81763095
"9","Tanh",0,80,-1,1e-05,0.87652457,0.8481183,0.8247031,0.8084234
"10","Tanh",0,80,-1,1e-06,0.90434676,0.86124086,0.8196559,0.8569585
"11","Tanh",0,80,-1,1e-07,0.8878589,0.85643065,0.8277711,0.81398374
"12","Tanh",0,80,-1,1e-08,0.9034371,0.8612808,0.8117295,0.8710019
"13","Tanh",0,80,-1,1e-09,0.90622795,0.864506,0.8059835,0.88329947
"14","Tanh",0,80,-1,1e-10,0.90045166,0.8524587,0.7853058,0.89028937
"15","Tanh",0,80,-2,1e-04,0.83755934,0.81013256,0.77975386,0.76826394
"16","Tanh",0,80,-2,1e-05,0.8713181,0.84872425,0.8278959,0.79147184
"17","Tanh",0,80,-2,1e-06,0.8747682,0.8406862,0.7947766,0.8264138
"18","Tanh",0,80,-2,1e-07,0.89179564,0.84736276,0.7981296,0.8369203
"19","Tanh",0,80,-2,1e-08,0.8961257,0.8509413,0.7935433,0.8667265
"20","Tanh",0,80,-2,1e-09,0.89878553,0.8644729,0.82140315,0.85776865
"21","Tanh",0,80,-2,1e-10,0.898208,0.85541654,0.80145365,0.86950636
