"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","AUC","accuracy","precision","recall"
"1","Rectifier",0.05,300,0,1e-04,0.8933269,0.8619497,0.8334252,0.82125413
"2","Rectifier",0.05,300,0,1e-05,0.89730996,0.86738974,0.8445748,0.8188486
"3","Rectifier",0.05,300,0,1e-06,0.8895985,0.8556504,0.8320668,0.80095166
"4","Rectifier",0.05,300,0,1e-07,0.88476825,0.8553849,0.826732,0.8103439
"5","Rectifier",0.05,300,0,1e-08,0.89097345,0.86557335,0.8461944,0.8159353
"6","Rectifier",0.05,300,0,1e-09,0.9095356,0.8767308,0.8527254,0.83351547
"7","Rectifier",0.05,300,0,1e-10,0.90514445,0.8599251,0.8333708,0.81687474
"8","Rectifier",0.05,300,-1,1e-04,0.90227556,0.86855465,0.84586424,0.82613564
"9","Rectifier",0.05,300,-1,1e-05,0.9053746,0.8769901,0.8460551,0.8551463
"10","Rectifier",0.05,300,-1,1e-06,0.8853393,0.8509903,0.81058055,0.816155
"11","Rectifier",0.05,300,-1,1e-07,0.8698193,0.85025585,0.8277743,0.7963422
"12","Rectifier",0.05,300,-1,1e-08,0.8882345,0.845453,0.8005015,0.8278307
"13","Rectifier",0.05,300,-1,1e-09,0.89999205,0.8615993,0.82367635,0.8349524
"14","Rectifier",0.05,300,-1,1e-10,0.9058578,0.8581677,0.81658906,0.83471984
"15","Rectifier",0.05,300,-2,1e-04,0.8765784,0.8362229,0.76399165,0.86125857
"16","Rectifier",0.05,300,-2,1e-05,0.89513046,0.858886,0.81760323,0.83529514
"17","Rectifier",0.05,300,-2,1e-06,0.8923861,0.8560506,0.8223379,0.8340332
"18","Rectifier",0.05,300,-2,1e-07,0.8941841,0.85872036,0.80603653,0.8591411
"19","Rectifier",0.05,300,-2,1e-08,0.89652216,0.853733,0.80359954,0.83864874
"20","Rectifier",0.05,300,-2,1e-09,0.89842546,0.8547018,0.80197763,0.8457979
"21","Rectifier",0.05,300,-2,1e-10,0.9052563,0.86215776,0.83173,0.826073
