"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","AUC","accuracy","precision","recall"
"1","Tanh",0,100,0,1e-04,0.8639309,0.8365929,0.79695797,0.80996263
"2","Tanh",0,100,0,1e-05,0.8924971,0.8596902,0.81728345,0.8374901
"3","Tanh",0,100,0,1e-06,0.88877535,0.85877544,0.8161231,0.8438728
"4","Tanh",0,100,0,1e-07,0.8906427,0.85364574,0.8030678,0.84593755
"5","Tanh",0,100,0,1e-08,0.8962424,0.85994804,0.8213686,0.84071535
"6","Tanh",0,100,0,1e-09,0.9021758,0.8684277,0.823791,0.86651903
"7","Tanh",0,100,0,1e-10,0.90380424,0.86327994,0.8288666,0.8548662
"8","Tanh",0,100,-1,1e-04,0.8330465,0.81571984,0.7709499,0.78623664
"9","Tanh",0,100,-1,1e-05,0.87855285,0.8582923,0.83945566,0.8013085
"10","Tanh",0,100,-1,1e-06,0.8915978,0.85268533,0.8170965,0.82951933
"11","Tanh",0,100,-1,1e-07,0.89156383,0.8579162,0.8175256,0.845111
"12","Tanh",0,100,-1,1e-08,0.8970067,0.8706797,0.8482094,0.82200384
"13","Tanh",0,100,-1,1e-09,0.90251356,0.86661494,0.82334495,0.86460626
"14","Tanh",0,100,-1,1e-10,0.90336066,0.86201084,0.8192173,0.8597147
"15","Tanh",0,100,-2,1e-04,0.8614946,0.8225534,0.77046645,0.8000198
"16","Tanh",0,100,-2,1e-05,0.87940305,0.84679693,0.7953706,0.86741745
"17","Tanh",0,100,-2,1e-06,0.8845287,0.847287,0.7921429,0.85201055
"18","Tanh",0,100,-2,1e-07,0.88124335,0.84690934,0.8250597,0.80063725
"19","Tanh",0,100,-2,1e-08,0.88143235,0.84496135,0.819763,0.8003392
"20","Tanh",0,100,-2,1e-09,0.8972862,0.85472846,0.8142703,0.8406146
"21","Tanh",0,100,-2,1e-10,0.90207905,0.8598869,0.81852704,0.85258365
