"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","AUC","accuracy","precision","recall"
"1","Rectifier",0.2,30,0,1e-04,0.9000729,0.8593182,0.8093797,0.8579705
"2","Rectifier",0.2,30,0,1e-05,0.9027159,0.87654227,0.849983,0.8432223
"3","Rectifier",0.2,30,0,1e-06,0.9017181,0.867324,0.81664413,0.8687508
"4","Rectifier",0.2,30,0,1e-07,0.90795326,0.87490094,0.8472864,0.8380758
"5","Rectifier",0.2,30,0,1e-08,0.8982271,0.8577616,0.8122802,0.84985906
"6","Rectifier",0.2,30,0,1e-09,0.8791392,0.8457349,0.79233134,0.8376146
"7","Rectifier",0.2,30,0,1e-10,0.8504236,0.8214996,0.7648966,0.80137396
"8","Rectifier",0.2,30,-1,1e-04,0.8920955,0.85570294,0.82751614,0.814469
"9","Rectifier",0.2,30,-1,1e-05,0.8956787,0.8635037,0.8378934,0.8200461
"10","Rectifier",0.2,30,-1,1e-06,0.90998036,0.86783135,0.83388454,0.8467546
"11","Rectifier",0.2,30,-1,1e-07,0.9070645,0.8700337,0.83655185,0.8460791
"12","Rectifier",0.2,30,-1,1e-08,0.89716,0.8547827,0.79305017,0.8640352
"13","Rectifier",0.2,30,-1,1e-09,0.8775287,0.83826226,0.777508,0.84099346
"14","Rectifier",0.2,30,-1,1e-10,0.8498388,0.8149799,0.75413954,0.79630387
"15","Rectifier",0.2,30,-2,1e-04,0.8914043,0.8646315,0.8337162,0.8306787
"16","Rectifier",0.2,30,-2,1e-05,0.9107731,0.86920387,0.8377352,0.8454752
"17","Rectifier",0.2,30,-2,1e-06,0.8941067,0.8645171,0.8163517,0.8542765
"18","Rectifier",0.2,30,-2,1e-07,0.9039742,0.8710155,0.87564224,0.7992338
"19","Rectifier",0.2,30,-2,1e-08,0.90061164,0.8563656,0.79645497,0.8611713
"20","Rectifier",0.2,30,-2,1e-09,0.8768844,0.8471521,0.7842551,0.86305124
"21","Rectifier",0.2,30,-2,1e-10,0.8512811,0.8224952,0.76604825,0.8037275
