"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","AUC"
"104","Rectifier",0,60,-2,1e-09,0.90563995
"105","Rectifier",0,60,-2,1e-10,0.88917005
"106","Rectifier",0,70,0,1e-04,0.89112335
"107","Rectifier",0,70,0,1e-05,0.8948624
"108","Rectifier",0,70,0,1e-06,0.8865055
"109","Rectifier",0,70,0,1e-07,0.88449585
"110","Rectifier",0,70,0,1e-08,0.9049849
"111","Rectifier",0,70,0,1e-09,0.904996
"112","Rectifier",0,70,0,1e-10,0.88690287
"113","Rectifier",0,70,-1,1e-04,0.89448196
"114","Rectifier",0,70,-1,1e-05,0.9029642
"115","Rectifier",0,70,-1,1e-06,0.8946439
"116","Rectifier",0,70,-1,1e-07,0.89181
"117","Rectifier",0,70,-1,1e-08,0.9022008
"118","Rectifier",0,70,-1,1e-09,0.9010972
"119","Rectifier",0,70,-1,1e-10,0.88772434
"120","Rectifier",0,70,-2,1e-04,0.89872235
"121","Rectifier",0,70,-2,1e-05,0.89103717
"122","Rectifier",0,70,-2,1e-06,0.8875369
"123","Rectifier",0,70,-2,1e-07,0.9015574
"124","Rectifier",0,70,-2,1e-08,0.9019251
"125","Rectifier",0,70,-2,1e-09,0.90174806
"126","Rectifier",0,70,-2,1e-10,0.89043677
"127","Rectifier",0,80,0,1e-04,0.9037594
"128","Rectifier",0,80,0,1e-05,0.88748693
"129","Rectifier",0,80,0,1e-06,0.88922423
"130","Rectifier",0,80,0,1e-07,0.8822449
"131","Rectifier",0,80,0,1e-08,0.8997578
"132","Rectifier",0,80,0,1e-09,0.90411395
"133","Rectifier",0,80,0,1e-10,0.8909906
"134","Rectifier",0,80,-1,1e-04,0.8904909
"135","Rectifier",0,80,-1,1e-05,0.9091884
"136","Rectifier",0,80,-1,1e-06,0.8982752
"137","Rectifier",0,80,-1,1e-07,0.88227564
"138","Rectifier",0,80,-1,1e-08,0.90337205
"139","Rectifier",0,80,-1,1e-09,0.9045326
"140","Rectifier",0,80,-1,1e-10,0.8939752
